TIERSLU;Material_No_Customer;Quantité;LIVRFINLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
C00126;503-991-99-99;8.900,00;20/11/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Backlog;C00126;5500005333;20190101
C00126;503-991-99-99;3.780,00;05/12/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500005333;20190101
C00126;503-991-99-99;5.040,00;15/12/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500005333;20190101
C00126;503-991-99-99;2.940,00;22/12/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500005333;20190101
C00126;503-991-99-99;6.720,00;29/12/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500005333;20190101
C00126;503-991-99-99;2.520,00;05/01/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500005333;20190101
C00126;503-991-99-99;11.760,00;19/01/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500005333;20190101
C00126;503-991-99-99;2.520,00;31/07/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500005333;20190101
C00126;503-991-99-99;9.660,00;31/08/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500005333;20190101
C00126;503-991-99-99;7.560,00;30/09/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500005333;20190101
C00126;503-991-99-99;2.520,00;31/10/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500005333;20190101
C00126;503-537-99-99;1.680,00;28/02/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004059;20190101
C00126;503-537-99-99;1.680,00;31/03/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004059;20190101
C00126;503-537-99-99;1.680,00;31/05/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004059;20190101
C00126;503-537-99-99;1.680,00;31/08/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004059;20190101
C00126;504-519-99-99;3.360,00;21/11/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;28/11/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;05/12/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;15/12/2024;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;05/01/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Firm;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;12/01/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;19/01/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;26/01/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;3.360,00;02/02/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;13.440,00;28/02/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;6.720,00;31/03/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;8.400,00;30/04/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
C00126;504-519-99-99;13.440,00;31/05/2025;NIDEC MOTORS & ACTUATORS (POLAND)Sp;Forecast;C00126;5500004849;20190101
