Ref;Quantité;LIVRFINLU;TIERSLU;Libelle client;Statut;Tiers livré;REFEXTERNELU;Date debut Validité
53343086;560;12/06/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;3500;12/13/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;01/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;980;01/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;420;01/31/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;02/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;02/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;02/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/28/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;04/04/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;04/11/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;1400;04/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;04/25/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;05/02/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;05/16/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;21060;11/18/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;980;11/25/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;12/20/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;280;12/27/2024;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;140;01/03/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;420;01/10/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;01/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;01/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;05/23/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;05/30/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;06/06/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;06/13/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;06/20/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;06/27/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;07/04/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;07/11/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;07/18/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;07/25/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;08/01/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;08/08/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;08/15/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;08/22/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;1260;08/29/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;09/05/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;09/12/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;09/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;09/26/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;10/03/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;10/10/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;10/17/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;10/24/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;11/07/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;11/14/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;11/21/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;11/28/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;12/05/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;12/12/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;12/19/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;12/26/2025;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;01/02/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;1400;01/09/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;01/16/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;01/23/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;01/30/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;02/06/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;02/13/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;02/20/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/06/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;03/13/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/20/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;03/27/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;04/02/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;04/10/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;1400;04/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;04/24/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;04/30/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;05/15/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;05/22/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;05/29/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;06/05/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;06/12/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;1400;06/19/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;06/26/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;07/03/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;700;07/17/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;1400;07/24/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;07/31/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;560;08/07/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
53343086;840;08/14/2026;C00241;INTEVA PRODUCTS, LLC;N/A;C00241;53343086;20190101
